SKU ID,2020_COGS,current inventory value,turn over ratio,turn over days,turn over ratio share %,Cumulative turn over ratio %,ABC,Rank
3079BA,1332088.0,1795172.0,0.74,493,0.66,75.05,B [Medium],39
1992AA,1157244.0,1591760.0,0.73,500,0.57,75.61999999999999,B [Medium],40
2391CA,1147523.0,66178.0,17.34,21,0.57,76.18999999999998,B [Medium],41
2267CA,1101361.0,202919.0,5.43,67,0.55,76.73999999999998,B [Medium],42
2501CA,1096887.0,776788.0,1.41,259,0.54,77.27999999999999,B [Medium],43
3461CA,1065022.0,5321.0,200.15,2,0.53,77.80999999999999,B [Medium],44
2016CA,1026658.0,673790.0,1.52,240,0.51,78.32,B [Medium],45
1990AA,967783.0,1183119.0,0.82,445,0.48,78.8,B [Medium],46
1266CA,951200.0,594500.0,1.6,228,0.47,79.27,B [Medium],47
1234BA,947196.0,264936.0,3.58,102,0.47,79.74,B [Medium],48
1801AA,919682.0,18750.0,49.05,7,0.46,80.19999999999999,B [Medium],49
1499CA,897600.0,165000.0,5.44,67,0.44,80.63999999999999,B [Medium],50
2680BA,894616.0,883190.0,1.01,361,0.44,81.07999999999998,B [Medium],51
2041CA,869531.0,814416.0,1.07,341,0.43,81.50999999999999,B [Medium],52
1921AA,850000.0,200000.0,4.25,86,0.42,81.92999999999999,B [Medium],53
2847BA,846514.0,879640.0,0.96,380,0.42,82.35,B [Medium],54
3502BA,845519.0,464110.0,1.82,201,0.42,82.77,B [Medium],55
1161AA,834580.0,26909.0,31.01,12,0.41,83.17999999999999,B [Medium],56
1994AA,820878.0,1944967.0,0.42,869,0.41,83.58999999999999,B [Medium],57
2013AA,727328.0,484885.0,1.5,243,0.36,83.94999999999999,B [Medium],58
1009AA,699580.0,207383.0,3.37,108,0.35,84.29999999999998,B [Medium],59
1908AA,695228.0,611800.0,1.14,320,0.34,84.63999999999999,B [Medium],60
3239AA,664033.0,550000.0,1.21,302,0.33,84.96999999999998,B [Medium],61
1971AA,658381.0,608641.0,1.08,338,0.33,85.29999999999998,B [Medium],62
2714CA,632938.0,448883.0,1.41,259,0.31,85.60999999999999,B [Medium],63
1842BA,626584.0,39290.0,15.95,23,0.31,85.91999999999999,B [Medium],64
2646AA,624024.0,251608.0,2.48,147,0.31,86.22999999999999,B [Medium],65
1979AA,608267.0,350109.0,1.74,210,0.3,86.52999999999999,B [Medium],66
1163CA,595249.0,204569.0,2.91,125,0.29,86.82,B [Medium],67
2766AA,584315.0,2729471.0,0.21,1738,0.29,87.11,B [Medium],68
1385CA,579003.0,158558.0,3.65,100,0.29,87.4,B [Medium],69
2039CA,523509.0,563087.0,0.93,392,0.26,87.66000000000001,B [Medium],70
